inventory_id,date_key,product_id,facility_id,stock_level,safety_stock_level,reorder_point
1,31,1,4,138,53,88
2,31,1,5,121,53,88
3,31,1,6,127,53,88
4,31,2,4,232,113,145
5,31,2,5,266,113,145
6,31,2,6,155,113,145
7,31,3,4,181,90,194
8,31,3,5,129,90,194
9,31,3,6,234,90,194
10,31,4,4,114,77,99
11,31,4,5,113,77,99
12,31,4,6,151,77,99
13,31,5,4,222,130,192
14,31,5,5,276,130,192
15,31,5,6,239,130,192
16,31,6,4,254,106,182
17,31,6,5,258,106,182
18,31,6,6,262,106,182
19,31,7,4,111,77,129
20,31,7,5,93,77,129
21,31,7,6,91,77,129
22,31,8,4,32,21,28
23,31,8,5,46,21,28
24,31,8,6,43,21,28
25,31,9,4,54,40,57
26,31,9,5,53,40,57
27,31,9,6,77,40,57
28,31,10,4,23,19,31
29,31,10,5,55,19,31
30,31,10,6,56,19,31
31,31,11,4,77,42,60
32,31,11,5,43,42,60
33,31,11,6,71,42,60
34,31,12,4,74,38,74
35,31,12,5,90,38,74
36,31,12,6,80,38,74
37,31,13,4,51,20,39
38,31,13,5,45,20,39
39,31,13,6,42,20,39
40,31,14,4,19,10,21
41,31,14,5,23,10,21
42,31,14,6,28,10,21
43,31,15,4,214,133,146
44,31,15,5,269,133,146
45,31,15,6,148,133,146
46,31,16,4,424,209,439
47,31,16,5,551,209,439
48,31,16,6,611,209,439
49,59,1,4,60,32,65
50,59,1,5,84,32,65
51,59,1,6,43,32,65
52,59,2,4,366,166,219
53,59,2,5,311,166,219
54,59,2,6,258,166,219
55,59,3,4,135,101,236
56,59,3,5,172,101,236
57,59,3,6,241,101,236
58,59,4,4,117,61,101
59,59,4,5,103,61,101
60,59,4,6,68,61,101
61,59,5,4,295,145,200
62,59,5,5,291,145,200
63,59,5,6,225,145,200
64,59,6,4,268,98,207
65,59,6,5,265,98,207
66,59,6,6,273,98,207
67,59,7,4,129,71,127
68,59,7,5,84,71,127
69,59,7,6,145,71,127
70,59,8,4,32,22,48
71,59,8,5,37,22,48
72,59,8,6,32,22,48
73,59,9,4,77,31,69
74,59,9,5,80,31,69
75,59,9,6,99,31,69
76,59,10,4,44,22,28
77,59,10,5,35,22,28
78,59,10,6,28,22,28
79,59,11,4,30,16,28
80,59,11,5,39,16,28
81,59,11,6,35,16,28
82,59,12,4,63,24,37
83,59,12,5,29,24,37
84,59,12,6,56,24,37
85,59,13,4,50,23,36
86,59,13,5,52,23,36
87,59,13,6,40,23,36
88,59,14,4,19,9,14
89,59,14,5,10,9,14
90,59,14,6,16,9,14
91,59,15,4,293,119,263
92,59,15,5,298,119,263
93,59,15,6,219,119,263
94,59,16,4,74,43,78
95,59,16,5,59,43,78
96,59,16,6,56,43,78
97,90,1,4,253,146,180
98,90,1,5,243,146,180
99,90,1,6,132,146,180
100,90,2,4,157,78,129
101,90,2,5,79,78,129
102,90,2,6,91,78,129
103,90,3,4,141,63,131
104,90,3,5,134,63,131
105,90,3,6,135,63,131
106,90,4,4,130,98,122
107,90,4,5,196,98,122
108,90,4,6,130,98,122
109,90,5,4,120,50,82
110,90,5,5,146,50,82
111,90,5,6,98,50,82
112,90,6,4,56,42,105
113,90,6,5,120,42,105
114,90,6,6,103,42,105
115,90,7,4,79,44,68
116,90,7,5,87,44,68
117,90,7,6,90,44,68
118,90,8,4,122,59,81
119,90,8,5,62,59,81
120,90,8,6,99,59,81
121,90,9,4,111,62,107
122,90,9,5,80,62,107
123,90,9,6,74,62,107
124,90,10,4,61,37,53
125,90,10,5,60,37,53
126,90,10,6,46,37,53
127,90,11,4,24,19,29
128,90,11,5,35,19,29
129,90,11,6,24,19,29
130,90,12,4,25,13,33
131,90,12,5,21,13,33
132,90,12,6,23,13,33
133,90,13,4,11,11,15
134,90,13,5,11,11,15
135,90,13,6,11,11,15
136,90,14,4,39,31,34
137,90,14,5,44,31,34
138,90,14,6,38,31,34
139,90,15,4,181,97,192
140,90,15,5,113,97,192
141,90,15,6,138,97,192
142,90,16,4,133,106,216
143,90,16,5,136,106,216
144,90,16,6,282,106,216
145,120,1,4,210,145,237
146,120,1,5,224,145,237
147,120,1,6,198,145,237
148,120,2,4,128,86,160
149,120,2,5,155,86,160
150,120,2,6,181,86,160
151,120,3,4,141,91,137
152,120,3,5,176,91,137
153,120,3,6,189,91,137
154,120,4,4,367,127,205
155,120,4,5,212,127,205
156,120,4,6,167,127,205
157,120,5,4,81,74,114
158,120,5,5,151,74,114
159,120,5,6,116,74,114
160,120,6,4,180,140,299
161,120,6,5,275,140,299
162,120,6,6,335,140,299
163,120,7,4,115,50,91
164,120,7,5,147,50,91
165,120,7,6,94,50,91
166,120,8,4,71,35,51
167,120,8,5,33,35,51
168,120,8,6,56,35,51
169,120,9,4,77,35,57
170,120,9,5,45,35,57
171,120,9,6,83,35,57
172,120,10,4,15,12,17
173,120,10,5,20,12,17
174,120,10,6,26,12,17
175,120,11,4,70,35,57
176,120,11,5,99,35,57
177,120,11,6,84,35,57
178,120,12,4,48,19,37
179,120,12,5,20,19,37
180,120,12,6,25,19,37
181,120,13,4,82,31,72
182,120,13,5,88,31,72
183,120,13,6,83,31,72
184,120,14,4,47,29,51
185,120,14,5,34,29,51
186,120,14,6,52,29,51
187,120,15,4,230,91,211
188,120,15,5,157,91,211
189,120,15,6,243,91,211
190,120,16,4,478,311,429
191,120,16,5,389,311,429
192,120,16,6,579,311,429
193,151,1,4,179,124,292
194,151,1,5,201,124,292
195,151,1,6,201,124,292
196,151,2,4,252,138,226
197,151,2,5,174,138,226
198,151,2,6,318,138,226
199,151,3,4,171,58,127
200,151,3,5,109,58,127
201,151,3,6,81,58,127
202,151,4,4,142,86,120
203,151,4,5,153,86,120
204,151,4,6,104,86,120
205,151,5,4,221,149,238
206,151,5,5,236,149,238
207,151,5,6,177,149,238
208,151,6,4,160,70,139
209,151,6,5,83,70,139
210,151,6,6,111,70,139
211,151,7,4,68,41,94
212,151,7,5,86,41,94
213,151,7,6,104,41,94
214,151,8,4,110,60,126
215,151,8,5,164,60,126
216,151,8,6,104,60,126
217,151,9,4,171,90,161
218,151,9,5,224,90,161
219,151,9,6,199,90,161
220,151,10,4,33,27,46
221,151,10,5,54,27,46
222,151,10,6,32,27,46
223,151,11,4,58,28,43
224,151,11,5,26,28,43
225,151,11,6,48,28,43
226,151,12,4,30,12,21
227,151,12,5,23,12,21
228,151,12,6,24,12,21
229,151,13,4,62,23,32
230,151,13,5,53,23,32
231,151,13,6,43,23,32
232,151,14,4,17,16,30
233,151,14,5,21,16,30
234,151,14,6,29,16,30
235,151,15,4,156,128,182
236,151,15,5,203,128,182
237,151,15,6,237,128,182
238,151,16,4,168,120,213
239,151,16,5,233,120,213
240,151,16,6,162,120,213
241,181,1,4,125,98,170
242,181,1,5,180,98,170
243,181,1,6,219,98,170
244,181,2,4,105,64,99
245,181,2,5,143,64,99
246,181,2,6,76,64,99
247,181,3,4,118,51,71
248,181,3,5,86,51,71
249,181,3,6,75,51,71
250,181,4,4,129,84,123
251,181,4,5,118,84,123
252,181,4,6,91,84,123
253,181,5,4,117,67,110
254,181,5,5,75,67,110
255,181,5,6,137,67,110
256,181,6,4,124,56,94
257,181,6,5,82,56,94
258,181,6,6,100,56,94
259,181,7,4,56,42,84
260,181,7,5,71,42,84
261,181,7,6,84,42,84
262,181,8,4,57,35,68
263,181,8,5,83,35,68
264,181,8,6,68,35,68
265,181,9,4,47,39,70
266,181,9,5,62,39,70
267,181,9,6,69,39,70
268,181,10,4,39,21,49
269,181,10,5,30,21,49
270,181,10,6,57,21,49
271,181,11,4,49,21,38
272,181,11,5,25,21,38
273,181,11,6,35,21,38
274,181,12,4,37,25,32
275,181,12,5,47,25,32
276,181,12,6,21,25,32
277,181,13,4,69,34,53
278,181,13,5,35,34,53
279,181,13,6,74,34,53
280,181,14,4,25,17,23
281,181,14,5,24,17,23
282,181,14,6,35,17,23
283,181,15,4,276,138,287
284,181,15,5,296,138,287
285,181,15,6,302,138,287
286,181,16,4,389,341,506
287,181,16,5,305,341,506
288,181,16,6,317,341,506
289,212,1,4,184,77,106
290,212,1,5,186,77,106
291,212,1,6,118,77,106
292,212,2,4,165,66,103
293,212,2,5,79,66,103
294,212,2,6,174,66,103
295,212,3,4,233,105,157
296,212,3,5,179,105,157
297,212,3,6,168,105,157
298,212,4,4,413,224,333
299,212,4,5,242,224,333
300,212,4,6,413,224,333
301,212,5,4,175,141,213
302,212,5,5,191,141,213
303,212,5,6,282,141,213
304,212,6,4,102,86,97
305,212,6,5,131,86,97
306,212,6,6,157,86,97
307,212,7,4,137,65,88
308,212,7,5,101,65,88
309,212,7,6,134,65,88
310,212,8,4,93,84,128
311,212,8,5,185,84,128
312,212,8,6,108,84,128
313,212,9,4,157,91,132
314,212,9,5,121,91,132
315,212,9,6,138,91,132
316,212,10,4,33,13,32
317,212,10,5,27,13,32
318,212,10,6,25,13,32
319,212,11,4,21,16,28
320,212,11,5,27,16,28
321,212,11,6,27,16,28
322,212,12,4,28,29,45
323,212,12,5,52,29,45
324,212,12,6,29,29,45
325,212,13,4,21,15,31
326,212,13,5,32,15,31
327,212,13,6,37,15,31
328,212,14,4,28,14,27
329,212,14,5,26,14,27
330,212,14,6,21,14,27
331,212,15,4,226,119,163
332,212,15,5,127,119,163
333,212,15,6,195,119,163
334,212,16,4,284,114,213
335,212,16,5,163,114,213
336,212,16,6,239,114,213
337,243,1,4,123,71,98
338,243,1,5,135,71,98
339,243,1,6,130,71,98
340,243,2,4,183,87,143
341,243,2,5,147,87,143
342,243,2,6,123,87,143
343,243,3,4,192,78,166
344,243,3,5,181,78,166
345,243,3,6,124,78,166
346,243,4,4,206,90,167
347,243,4,5,134,90,167
348,243,4,6,214,90,167
349,243,5,4,166,67,146
350,243,5,5,124,67,146
351,243,5,6,153,67,146
352,243,6,4,75,53,99
353,243,6,5,108,53,99
354,243,6,6,85,53,99
355,243,7,4,56,24,58
356,243,7,5,55,24,58
357,243,7,6,33,24,58
358,243,8,4,134,55,108
359,243,8,5,132,55,108
360,243,8,6,135,55,108
361,243,9,4,147,71,130
362,243,9,5,137,71,130
363,243,9,6,112,71,130
364,243,10,4,29,14,17
365,243,10,5,18,14,17
366,243,10,6,14,14,17
367,243,11,4,35,23,36
368,243,11,5,52,23,36
369,243,11,6,59,23,36
370,243,12,4,31,30,42
371,243,12,5,52,30,42
372,243,12,6,32,30,42
373,243,13,4,35,18,34
374,243,13,5,25,18,34
375,243,13,6,20,18,34
376,243,14,4,67,29,40
377,243,14,5,59,29,40
378,243,14,6,48,29,40
379,243,15,4,145,124,173
380,243,15,5,189,124,173
381,243,15,6,155,124,173
382,243,16,4,137,125,216
383,243,16,5,218,125,216
384,243,16,6,177,125,216
385,273,1,4,141,86,201
386,273,1,5,243,86,201
387,273,1,6,251,86,201
388,273,2,4,186,105,166
389,273,2,5,118,105,166
390,273,2,6,191,105,166
391,273,3,4,110,46,80
392,273,3,5,122,46,80
393,273,3,6,92,46,80
394,273,4,4,161,92,173
395,273,4,5,250,92,173
396,273,4,6,127,92,173
397,273,5,4,65,36,53
398,273,5,5,66,36,53
399,273,5,6,48,36,53
400,273,6,4,156,87,99
401,273,6,5,144,87,99
402,273,6,6,149,87,99
403,273,7,4,81,68,85
404,273,7,5,77,68,85
405,273,7,6,99,68,85
406,273,8,4,68,64,73
407,273,8,5,72,64,73
408,273,8,6,102,64,73
409,273,9,4,177,89,171
410,273,9,5,153,89,171
411,273,9,6,141,89,171
412,273,10,4,78,27,59
413,273,10,5,58,27,59
414,273,10,6,53,27,59
415,273,11,4,83,35,59
416,273,11,5,87,35,59
417,273,11,6,81,35,59
418,273,12,4,78,35,62
419,273,12,5,78,35,62
420,273,12,6,69,35,62
421,273,13,4,20,14,27
422,273,13,5,27,14,27
423,273,13,6,37,14,27
424,273,14,4,34,23,40
425,273,14,5,30,23,40
426,273,14,6,27,23,40
427,273,15,4,236,87,176
428,273,15,5,132,87,176
429,273,15,6,209,87,176
430,273,16,4,303,151,171
431,273,16,5,264,151,171
432,273,16,6,272,151,171
433,304,1,4,228,86,166
434,304,1,5,231,86,166
435,304,1,6,129,86,166
436,304,2,4,387,189,303
437,304,2,5,173,189,303
438,304,2,6,381,189,303
439,304,3,4,231,98,178
440,304,3,5,198,98,178
441,304,3,6,143,98,178
442,304,4,4,419,244,274
443,304,4,5,478,244,274
444,304,4,6,446,244,274
445,304,5,4,207,113,179
446,304,5,5,172,113,179
447,304,5,6,199,113,179
448,304,6,4,360,150,301
449,304,6,5,228,150,301
450,304,6,6,324,150,301
451,304,7,4,210,110,180
452,304,7,5,102,110,180
453,304,7,6,177,110,180
454,304,8,4,132,113,141
455,304,8,5,130,113,141
456,304,8,6,239,113,141
457,304,9,4,119,96,162
458,304,9,5,248,96,162
459,304,9,6,216,96,162
460,304,10,4,50,26,43
461,304,10,5,30,26,43
462,304,10,6,36,26,43
463,304,11,4,85,33,59
464,304,11,5,50,33,59
465,304,11,6,61,33,59
466,304,12,4,53,31,57
467,304,12,5,64,31,57
468,304,12,6,55,31,57
469,304,13,4,28,25,39
470,304,13,5,31,25,39
471,304,13,6,57,25,39
472,304,14,4,43,19,31
473,304,14,5,43,19,31
474,304,14,6,37,19,31
475,304,15,4,573,279,439
476,304,15,5,602,279,439
477,304,15,6,461,279,439
478,304,16,4,583,276,558
479,304,16,5,384,276,558
480,304,16,6,444,276,558
481,334,1,4,153,126,213
482,334,1,5,239,126,213
483,334,1,6,119,126,213
484,334,2,4,84,49,125
485,334,2,5,70,49,125
486,334,2,6,134,49,125
487,334,3,4,411,188,256
488,334,3,5,418,188,256
489,334,3,6,391,188,256
490,334,4,4,98,46,93
491,334,4,5,73,46,93
492,334,4,6,131,46,93
493,334,5,4,238,158,302
494,334,5,5,191,158,302
495,334,5,6,347,158,302
496,334,6,4,176,118,120
497,334,6,5,157,118,120
498,334,6,6,222,118,120
499,334,7,4,69,60,81
500,334,7,5,76,60,81
501,334,7,6,110,60,81
502,334,8,4,78,68,91
503,334,8,5,117,68,91
504,334,8,6,71,68,91
505,334,9,4,136,58,101
506,334,9,5,134,58,101
507,334,9,6,159,58,101
508,334,10,4,102,49,88
509,334,10,5,104,49,88
510,334,10,6,53,49,88
511,334,11,4,117,56,99
512,334,11,5,99,56,99
513,334,11,6,126,56,99
514,334,12,4,27,20,34
515,334,12,5,42,20,34
516,334,12,6,37,20,34
517,334,13,4,61,43,59
518,334,13,5,78,43,59
519,334,13,6,95,43,59
520,334,14,4,31,24,43
521,334,14,5,46,24,43
522,334,14,6,54,24,43
523,334,15,4,291,176,330
524,334,15,5,193,176,330
525,334,15,6,397,176,330
526,334,16,4,160,117,218
527,334,16,5,179,117,218
528,334,16,6,222,117,218
529,365,1,4,408,166,309
530,365,1,5,369,166,309
531,365,1,6,251,166,309
532,365,2,4,378,218,387
533,365,2,5,299,218,387
534,365,2,6,501,218,387
535,365,3,4,286,147,190
536,365,3,5,223,147,190
537,365,3,6,123,147,190
538,365,4,4,58,47,60
539,365,4,5,93,47,60
540,365,4,6,96,47,60
541,365,5,4,192,102,216
542,365,5,5,255,102,216
543,365,5,6,182,102,216
544,365,6,4,466,248,370
545,365,6,5,339,248,370
546,365,6,6,454,248,370
547,365,7,4,93,34,79
548,365,7,5,51,34,79
549,365,7,6,71,34,79
550,365,8,4,165,82,134
551,365,8,5,79,82,134
552,365,8,6,126,82,134
553,365,9,4,229,93,184
554,365,9,5,173,93,184
555,365,9,6,111,93,184
556,365,10,4,44,33,52
557,365,10,5,83,33,52
558,365,10,6,50,33,52
559,365,11,4,74,42,87
560,365,11,5,93,42,87
561,365,11,6,103,42,87
562,365,12,4,27,22,53
563,365,12,5,44,22,53
564,365,12,6,41,22,53
565,365,13,4,76,30,52
566,365,13,5,56,30,52
567,365,13,6,67,30,52
568,365,14,4,49,30,49
569,365,14,5,59,30,49
570,365,14,6,56,30,49
571,365,15,4,553,307,552
572,365,15,5,777,307,552
573,365,15,6,668,307,552
574,365,16,4,271,144,270
575,365,16,5,269,144,270
576,365,16,6,347,144,270
577,396,1,4,107,68,86
578,396,1,5,110,68,86
579,396,1,6,110,68,86
580,396,2,4,223,118,148
581,396,2,5,212,118,148
